E:\project\IMG\center_2021_04_22_11_22_41_745.jpg, E:\project\IMG\left_2021_04_22_11_22_41_745.jpg, E:\project\IMG\right_2021_04_22_11_22_41_745.jpg, 0, 0, 0, 0.0001585403
E:\project\IMG\center_2021_04_22_11_22_41_954.jpg, E:\project\IMG\left_2021_04_22_11_22_41_954.jpg, E:\project\IMG\right_2021_04_22_11_22_41_954.jpg, 0, 0, 0, 0.0001595453
E:\project\IMG\center_2021_04_22_11_22_42_123.jpg, E:\project\IMG\left_2021_04_22_11_22_42_123.jpg, E:\project\IMG\right_2021_04_22_11_22_42_123.jpg, 0, 0, 0, 0.0001588273
E:\project\IMG\center_2021_04_22_11_22_42_288.jpg, E:\project\IMG\left_2021_04_22_11_22_42_288.jpg, E:\project\IMG\right_2021_04_22_11_22_42_288.jpg, 0, 0, 0, 0.0001585643
E:\project\IMG\center_2021_04_22_11_22_42_454.jpg, E:\project\IMG\left_2021_04_22_11_22_42_454.jpg, E:\project\IMG\right_2021_04_22_11_22_42_454.jpg, 0, 0, 0, 0.0001585991
E:\project\IMG\center_2021_04_22_11_22_42_623.jpg, E:\project\IMG\left_2021_04_22_11_22_42_623.jpg, E:\project\IMG\right_2021_04_22_11_22_42_623.jpg, 0, 0, 0, 0.0001587533
E:\project\IMG\center_2021_04_22_11_22_42_798.jpg, E:\project\IMG\left_2021_04_22_11_22_42_798.jpg, E:\project\IMG\right_2021_04_22_11_22_42_798.jpg, 0, 0, 0, 0.0001588178
E:\project\IMG\center_2021_04_22_11_22_42_966.jpg, E:\project\IMG\left_2021_04_22_11_22_42_966.jpg, E:\project\IMG\right_2021_04_22_11_22_42_966.jpg, 0, 0.5039196, 0, 0.926914
E:\project\IMG\center_2021_04_22_11_22_43_137.jpg, E:\project\IMG\left_2021_04_22_11_22_43_137.jpg, E:\project\IMG\right_2021_04_22_11_22_43_137.jpg, 0, 1, 0, 3.088763
E:\project\IMG\center_2021_04_22_11_22_43_311.jpg, E:\project\IMG\left_2021_04_22_11_22_43_311.jpg, E:\project\IMG\right_2021_04_22_11_22_43_311.jpg, 0, 1, 0, 4.960285
